Pop/GDP,Ind/Tran/Build,AGLU,Fossil,Energy,CCS,LT Price,LUC Price,ST Price,Average Global Cost (%GDP),2100 Forcing
0,0,1,0,1,0,0,0,0,0.00154991,4.88158
1,0,1,0,1,0,0,0,0,0.001766431,4.78891
2,0,1,0,1,0,0,0,0,0.002515532,4.48606
3,0,1,0,1,0,0,0,0,0.001742954,4.4386
4,0,1,0,1,0,0,0,0,0.001146528,5.45428
0,1,1,0,1,0,0,0,0,0.001836677,5.43817
1,1,1,0,1,0,0,0,0,0.002050656,5.23965
2,1,1,0,1,0,0,0,0,0.002756759,4.7394
3,1,1,0,1,0,0,0,0,0.001956878,4.78002
4,1,1,0,1,0,0,0,0,0.001398696,6.23868
0,2,1,0,1,0,0,0,0,0.00208251,5.56949
1,2,1,0,1,0,0,0,0,0.002267829,5.31233
2,2,1,0,1,0,0,0,0,0.002878857,4.76602
3,2,1,0,1,0,0,0,0,0.002057045,4.81424
4,2,1,0,1,0,0,0,0,0.001662485,6.39289
0,3,1,0,1,0,0,0,0,0.002048686,5.53093
1,3,1,0,1,0,0,0,0,0.002218814,5.28423
2,3,1,0,1,0,0,0,0,0.002840863,4.75704
3,3,1,0,1,0,0,0,0,0.001994108,4.78499
4,3,1,0,1,0,0,0,0,0.001641933,6.35598
0,4,1,0,1,0,0,0,0,0.001803503,5.47863
1,4,1,0,1,0,0,0,0,0.002039542,5.28645
2,4,1,0,1,0,0,0,0,0.002760178,4.7679
3,4,1,0,1,0,0,0,0,0.001984563,4.835
4,4,1,0,1,0,0,0,0,0.00135948,6.29275
0,0,2,0,1,0,0,0,0,0.001544414,5.36644
1,0,2,0,1,0,0,0,0,0.0017733,5.14225
2,0,2,0,1,0,0,0,0,0.002519772,4.72643
3,0,2,0,1,0,0,0,0,0.00170892,4.77463
4,0,2,0,1,0,0,0,0,0.001182425,6.00183
0,1,2,0,1,0,0,0,0,0.001869577,5.92742
1,1,2,0,1,0,0,0,0,0.002091217,5.59389
2,1,2,0,1,0,0,0,0,0.002789169,4.982
3,1,2,0,1,0,0,0,0,0.00194604,5.11931
4,1,2,0,1,0,0,0,0,0.001454946,6.77582
0,2,2,0,1,0,0,0,0,0.002126507,6.05245
1,2,2,0,1,0,0,0,0,0.002326938,5.66604
2,2,2,0,1,0,0,0,0,0.002932664,5.00825
3,2,2,0,1,0,0,0,0,0.002059584,5.15285
4,2,2,0,1,0,0,0,0,0.001723276,6.92205
0,3,2,0,1,0,0,0,0,0.002094925,6.01426
1,3,2,0,1,0,0,0,0,0.002278088,5.63623
2,3,2,0,1,0,0,0,0,0.002894865,4.99934
3,3,2,0,1,0,0,0,0,0.001991442,5.12401
4,3,2,0,1,0,0,0,0,0.001701149,6.88498
0,4,2,0,1,0,0,0,0,0.001820819,5.96181
1,4,2,0,1,0,0,0,0,0.002068453,5.64055
2,4,2,0,1,0,0,0,0,0.002782709,5.00984
3,4,2,0,1,0,0,0,0,0.001970233,5.17338
4,4,2,0,1,0,0,0,0,0.001404159,6.82813
0,0,3,0,1,0,0,0,0,0.00155267,4.82827
1,0,3,0,1,0,0,0,0,0.001771202,4.7371
2,0,3,0,1,0,0,0,0,0.002518826,4.43197
3,0,3,0,1,0,0,0,0,0.001749535,4.39763
4,0,3,0,1,0,0,0,0,0.00114869,5.41676
0,1,3,0,1,0,0,0,0,0.00183931,5.38577
1,1,3,0,1,0,0,0,0,0.002054156,5.18835
2,1,3,0,1,0,0,0,0,0.002757478,4.68568
3,1,3,0,1,0,0,0,0,0.001963114,4.73937
4,1,3,0,1,0,0,0,0,0.001401507,6.20212
0,2,3,0,1,0,0,0,0,0.002084812,5.51763
1,2,3,0,1,0,0,0,0,0.002269457,5.26159
2,2,3,0,1,0,0,0,0,0.002877439,4.71247
3,2,3,0,1,0,0,0,0,0.002062947,4.77378
4,2,3,0,1,0,0,0,0,0.00166558,6.35665
0,3,3,0,1,0,0,0,0,0.002050689,5.47902
1,3,3,0,1,0,0,0,0,0.002220184,5.2334
2,3,3,0,1,0,0,0,0,0.002839352,4.70348
3,3,3,0,1,0,0,0,0,0.002000051,4.74443
4,3,3,0,1,0,0,0,0,0.001644896,6.31972
0,4,3,0,1,0,0,0,0,0.001806494,5.42592
1,4,3,0,1,0,0,0,0,0.002043801,5.23501
